event,time,ip,user,code,time
1196,19:42:44,20216812083,5,331,
1197,19:42:44,20216812083,5,530,
1198,19:42:46,20216812083,5,331,
1199,19:42:46,20216812083,5,530,
1200,19:42:47,20216812083,5,331,
1201,19:42:47,20216812083,5,530,
1202,19:42:49,20216812083,5,331,
1203,19:42:49,20216812083,5,530,
1204,19:42:51,20216812083,5,331,
1205,19:42:51,20216812083,5,530,
1206,19:42:53,20216812083,5,331,
1207,19:42:53,20216812083,5,530,
1208,19:42:54,20216812083,5,331,
1209,19:42:54,20216812083,5,530,
1210,19:42:56,20216812083,5,331,
1211,19:42:56,20216812083,5,530,
1212,19:42:58,20216812083,5,331,
1213,19:42:58,20216812083,5,530,
1214,19:42:59,20216812083,5,331,
1215,19:42:59,20216812083,5,530,
1216,19:43:01,20216812083,5,331,
1217,19:43:01,20216812083,5,530,
1218,19:43:03,20216812083,5,331,
1219,19:43:03,20216812083,5,530,
1220,19:43:04,20216812083,5,331,
1221,19:43:04,20216812083,5,530,
1222,19:43:06,20216812083,5,331,
1223,19:43:06,20216812083,5,530,
1224,19:43:08,20216812083,5,331,
1225,19:43:08,20216812083,5,530,
1226,19:43:09,20216812083,5,331,
1227,19:43:09,20216812083,5,530,
1228,19:43:11,20216812083,5,331,
1229,19:43:11,20216812083,5,530,
1230,19:43:13,20216812083,5,331,
1231,19:43:13,20216812083,5,530,
1232,19:43:14,20216812083,5,331,
1233,19:43:14,20216812083,5,530,
1234,19:43:16,20216812083,5,331,
1235,19:43:16,20216812083,5,530,
1236,19:43:18,20216812083,5,331,
1237,19:43:18,20216812083,5,530,
1238,19:43:19,20216812083,5,331,
1239,19:43:19,20216812083,5,530,
1240,19:43:21,20216812083,5,331,
1241,19:43:21,20216812083,5,530,
1242,19:43:23,20216812083,5,331,
1243,19:43:23,20216812083,5,530,
1244,19:43:24,20216812083,5,331,
1245,19:43:24,20216812083,5,530,
1246,19:43:25,20216812083,5,331,
1247,19:43:25,20216812083,5,530,
1248,19:43:28,20216812083,5,331,
1249,19:43:28,20216812083,5,530,
1250,19:43:29,20216812083,5,331,
1251,19:43:29,20216812083,5,530,
1252,19:43:31,20216812083,5,331,
1253,19:43:31,20216812083,5,530,
1254,19:43:33,20216812083,5,331,
1255,19:43:33,20216812083,5,530,
1256,19:43:34,20216812083,5,331,
1257,19:43:34,20216812083,5,530,
1258,19:43:36,20216812083,5,331,
1259,19:43:36,20216812083,5,530,
1260,19:43:38,20216812083,5,331,
1261,19:43:38,20216812083,5,530,
1262,19:43:39,20216812083,5,331,
1263,19:43:39,20216812083,5,530,
1264,19:43:41,20216812083,5,331,
1265,19:43:41,20216812083,5,530,
1266,19:43:43,20216812083,5,331,
1267,19:43:43,20216812083,5,530,
1268,19:43:44,20216812083,5,331,
1269,19:43:44,20216812083,5,530,
1270,19:43:46,20216812083,5,331,
1271,19:43:46,20216812083,5,530,
1272,19:43:48,20216812083,5,331,
1273,19:43:48,20216812083,5,530,
1274,19:43:49,20216812083,5,331,
1275,19:43:49,20216812083,5,530,
1276,19:43:51,20216812083,5,331,
1277,19:43:51,20216812083,5,530,
1278,19:43:53,20216812083,5,331,
1279,19:43:53,20216812083,5,530,
1280,19:43:54,20216812083,5,331,
1281,19:43:54,20216812083,5,530,
1282,19:43:56,20216812083,5,331,
1283,19:43:56,20216812083,5,530,
1284,19:43:58,20216812083,5,331,
1285,19:43:58,20216812083,5,530,
1286,19:43:59,20216812083,5,331,
1287,19:43:59,20216812083,5,530,
1288,19:44:01,20216812083,5,331,
1289,19:44:01,20216812083,5,530,
1290,19:44:03,20216812083,5,331,
1291,19:44:03,20216812083,5,530,
1292,19:44:05,20216812083,5,331,
1293,19:44:05,20216812083,5,530,
1294,19:44:06,20216812083,5,331,
1295,19:44:06,20216812083,5,530,
1296,19:44:08,20216812083,5,331,
1297,19:44:08,20216812083,5,530,
1298,19:44:10,20216812083,5,331,
1299,19:44:10,20216812083,5,530,
1300,19:44:11,20216812083,5,331,
1301,19:44:11,20216812083,5,530,
1302,19:44:13,20216812083,5,331,
1303,19:44:13,20216812083,5,530,
1304,19:44:15,20216812083,5,331,
1305,19:44:15,20216812083,5,530,
1306,19:44:16,20216812083,5,331,
1307,19:44:16,20216812083,5,530,
1308,19:44:18,20216812083,5,331,
1309,19:44:18,20216812083,5,530,
1310,19:44:20,20216812083,5,331,
1311,19:44:20,20216812083,5,530,
1312,19:44:21,20216812083,5,331,
1313,19:44:21,20216812083,5,530,
1314,19:44:23,20216812083,5,331,
1315,19:44:23,20216812083,5,530,
1316,19:44:25,20216812083,5,331,
1317,19:44:25,20216812083,5,530,
1318,19:44:26,20216812083,5,331,
1319,19:44:26,20216812083,5,530,
1320,19:44:28,20216812083,5,331,
1321,19:44:28,20216812083,5,530,
1322,19:44:30,20216812083,5,331,
1323,19:44:30,20216812083,5,530,
1324,19:44:31,20216812083,5,331,
1325,19:44:31,20216812083,5,530,
1326,19:44:33,20216812083,5,331,
1327,19:44:33,20216812083,5,530,
1328,19:44:35,20216812083,5,331,
1329,19:44:35,20216812083,5,530,
